ARRIVAL_DELAY,DEPARTURE_DELAY,ARRIVAL_DELAY_hr,DEPARTURE_DELAY_hr
-16.0,-4.0,-0.26666666666666666,-0.06666666666666667
-4.0,-3.0,-0.06666666666666667,-0.05
-34.0,0.0,-0.5666666666666667,0.0
-18.0,-6.0,-0.3,-0.1
-10.0,-1.0,-0.16666666666666666,-0.016666666666666666
192.0,175.0,3.2,2.9166666666666665
-14.0,-4.0,-0.23333333333333334,-0.06666666666666667
-12.0,-1.0,-0.2,-0.016666666666666666
-14.0,-3.0,-0.23333333333333334,-0.05
-4.0,5.0,-0.06666666666666667,0.08333333333333333
-5.0,17.0,-0.08333333333333333,0.2833333333333333
-3.0,8.0,-0.05,0.13333333333333333
1.0,-1.0,0.016666666666666666,-0.016666666666666666
-15.0,1.0,-0.25,0.016666666666666666
10.0,-4.0,0.16666666666666666,-0.06666666666666667
-15.0,-6.0,-0.25,-0.1
-9.0,-5.0,-0.15,-0.08333333333333333
17.0,-3.0,0.2833333333333333,-0.05
16.0,10.0,0.26666666666666666,0.16666666666666666
-9.0,-2.0,-0.15,-0.03333333333333333
-15.0,-6.0,-0.25,-0.1
-21.0,-8.0,-0.35,-0.13333333333333333
13.0,-2.0,0.21666666666666667,-0.03333333333333333
-8.0,-6.0,-0.13333333333333333,-0.1
-4.0,6.0,-0.06666666666666667,0.1
12.0,-3.0,0.2,-0.05
-7.0,-2.0,-0.11666666666666667,-0.03333333333333333
23.0,0.0,0.38333333333333336,0.0
3.0,-3.0,0.05,-0.05
2.0,-7.0,0.03333333333333333,-0.11666666666666667
-15.0,-2.0,-0.25,-0.03333333333333333
-21.0,-5.0,-0.35,-0.08333333333333333
-2.0,-1.0,-0.03333333333333333,-0.016666666666666666
-6.0,0.0,-0.1,0.0
-16.0,-8.0,-0.26666666666666666,-0.13333333333333333
1201.0,1190.0,20.016666666666666,19.833333333333332
28.0,24.0,0.4666666666666667,0.4
-20.0,-1.0,-0.3333333333333333,-0.016666666666666666
6.0,1.0,0.1,0.016666666666666666
-22.0,-1.0,-0.36666666666666664,-0.016666666666666666
-7.0,5.0,-0.11666666666666667,0.08333333333333333
-10.0,-6.0,-0.16666666666666666,-0.1
-8.0,-14.0,-0.13333333333333333,-0.23333333333333334
-26.0,-10.0,-0.43333333333333335,-0.16666666666666666
143.0,152.0,2.3833333333333333,2.533333333333333
-11.0,-4.0,-0.18333333333333332,-0.06666666666666667
-10.0,3.0,-0.16666666666666666,0.05
-17.0,-6.0,-0.2833333333333333,-0.1
-6.0,-6.0,-0.1,-0.1
-19.0,-2.0,-0.31666666666666665,-0.03333333333333333
-2.0,1.0,-0.03333333333333333,0.016666666666666666
1.0,2.0,0.016666666666666666,0.03333333333333333
-21.0,-3.0,-0.35,-0.05
-11.0,-10.0,-0.18333333333333332,-0.16666666666666666
27.0,-4.0,0.45,-0.06666666666666667
-19.0,0.0,-0.31666666666666665,0.0
8.0,-1.0,0.13333333333333333,-0.016666666666666666
17.0,13.0,0.2833333333333333,0.21666666666666667
-21.0,-10.0,-0.35,-0.16666666666666666
-22.0,0.0,-0.36666666666666664,0.0
-17.0,-11.0,-0.2833333333333333,-0.18333333333333332
-16.0,-6.0,-0.26666666666666666,-0.1
-5.0,-2.0,-0.08333333333333333,-0.03333333333333333
59.0,73.0,0.9833333333333333,1.2166666666666666
0.0,7.0,0.0,0.11666666666666667
-5.0,-1.0,-0.08333333333333333,-0.016666666666666666
-13.0,-4.0,-0.21666666666666667,-0.06666666666666667
-8.0,-2.0,-0.13333333333333333,-0.03333333333333333
4.0,-2.0,0.06666666666666667,-0.03333333333333333
10.0,-6.0,0.16666666666666666,-0.1
19.0,7.0,0.31666666666666665,0.11666666666666667
15.0,4.0,0.25,0.06666666666666667
-4.0,-4.0,-0.06666666666666667,-0.06666666666666667
30.0,4.0,0.5,0.06666666666666667
-11.0,-3.0,-0.18333333333333332,-0.05
13.0,18.0,0.21666666666666667,0.3
14.0,7.0,0.23333333333333334,0.11666666666666667
90.0,94.0,1.5,1.5666666666666667
-16.0,-6.0,-0.26666666666666666,-0.1
-6.0,-8.0,-0.1,-0.13333333333333333
18.0,0.0,0.3,0.0
31.0,3.0,0.5166666666666667,0.05
3.0,10.0,0.05,0.16666666666666666
10.0,7.0,0.16666666666666666,0.11666666666666667
-9.0,-6.0,-0.15,-0.1
3.0,-5.0,0.05,-0.08333333333333333
-4.0,1.0,-0.06666666666666667,0.016666666666666666
53.0,68.0,0.8833333333333333,1.1333333333333333
7.0,-10.0,0.11666666666666667,-0.16666666666666666
-18.0,-5.0,-0.3,-0.08333333333333333
14.0,4.0,0.23333333333333334,0.06666666666666667
3.0,-4.0,0.05,-0.06666666666666667
53.0,53.0,0.8833333333333333,0.8833333333333333
6.0,0.0,0.1,0.0
153.0,137.0,2.55,2.283333333333333
0.0,12.0,0.0,0.2
0.0,-3.0,0.0,-0.05
2.0,31.0,0.03333333333333333,0.5166666666666667
-16.0,-10.0,-0.26666666666666666,-0.16666666666666666
26.0,37.0,0.43333333333333335,0.6166666666666667
-14.0,-5.0,-0.23333333333333334,-0.08333333333333333
26.0,38.0,0.43333333333333335,0.6333333333333333
17.0,-1.0,0.2833333333333333,-0.016666666666666666
-8.0,-3.0,-0.13333333333333333,-0.05
5.0,6.0,0.08333333333333333,0.1
37.0,48.0,0.6166666666666667,0.8
-11.0,-8.0,-0.18333333333333332,-0.13333333333333333
10.0,-5.0,0.16666666666666666,-0.08333333333333333
-16.0,-6.0,-0.26666666666666666,-0.1
13.0,-2.0,0.21666666666666667,-0.03333333333333333
14.0,20.0,0.23333333333333334,0.3333333333333333
-13.0,-6.0,-0.21666666666666667,-0.1
10.0,16.0,0.16666666666666666,0.26666666666666666
9.0,-2.0,0.15,-0.03333333333333333
36.0,-2.0,0.6,-0.03333333333333333
-12.0,-5.0,-0.2,-0.08333333333333333
23.0,-9.0,0.38333333333333336,-0.15
16.0,0.0,0.26666666666666666,0.0
-11.0,-7.0,-0.18333333333333332,-0.11666666666666667
16.0,23.0,0.26666666666666666,0.38333333333333336
-7.0,-5.0,-0.11666666666666667,-0.08333333333333333
5.0,2.0,0.08333333333333333,0.03333333333333333
-17.0,-12.0,-0.2833333333333333,-0.2
-12.0,-2.0,-0.2,-0.03333333333333333
20.0,16.0,0.3333333333333333,0.26666666666666666
-10.0,-8.0,-0.16666666666666666,-0.13333333333333333
5.0,-1.0,0.08333333333333333,-0.016666666666666666
-3.0,3.0,-0.05,0.05
-8.0,-1.0,-0.13333333333333333,-0.016666666666666666
